p,code,initial,noise,fidelity
0.8,five_qubit,+,depolarizing,0.4993746424515653
0.8,five_qubit,+,amp_damping,0.4909107770744763
0.8,five_qubit,-,bit_flip,0.5406482406482406
0.8,five_qubit,-,phase_flip,0.47561105561105543
0.8,five_qubit,-,depolarizing,0.4993746424515654
0.8,five_qubit,-,amp_damping,0.4909107770744761
0.8,five_qubit,rand,bit_flip,0.4780753627623409
0.8,five_qubit,rand,phase_flip,0.5367452796915773
0.8,five_qubit,rand,depolarizing,0.4994258971830342
0.8,five_qubit,rand,amp_damping,0.4854083948876367
0.8,steane,0,bit_flip,0.6029999999999999
0.8,steane,0,phase_flip,0.725
0.8,steane,0,depolarizing,0.42610283377154534
0.8,steane,0,amp_damping,0.46135531135531144
0.8,steane,1,bit_flip,0.478
0.8,steane,1,phase_flip,0.7113095238095237
0.8,steane,1,depolarizing,0.5755075956763073
0.8,steane,1,amp_damping,0.5387600732600734
0.8,steane,+,bit_flip,0.5000000000000001
0.8,steane,+,phase_flip,0.49999999999999994
0.8,steane,+,depolarizing,0.5010736196319017
0.8,steane,+,amp_damping,0.4974199215644231
0.8,steane,-,bit_flip,0.5
0.8,steane,-,phase_flip,0.49999999999999994
0.8,steane,-,depolarizing,0.5010736196319017
0.8,steane,-,amp_damping,0.49741992156442333
0.8,steane,rand,bit_flip,0.47789860288464603
0.8,steane,rand,phase_flip,0.7089334355529373
0.8,steane,rand,depolarizing,0.5750987894657904
0.8,steane,rand,amp_damping,0.5385816632930797
